"fecha","tempMax","tempMin","descripcion","vientoMin","vientoMax"
"15 Jul","31°","23°","Nubes y claros","16","42"
"16 Jul","33°","23°","Soleado","14","38"
"17 Jul","35°","21°","Soleado","15","37"
"18 Jul","33°","23°","Soleado","14","37"
"19 Jul","31°","24°","Nubes y claros","16","41"
"20 Jul","31°","24°","Nubes y claros","16","41"
"21 Jul","31°","24°","Nubes y claros","15","40"
"22 Jul","32°","24°","Nubes y claros","14","38"
"23 Jul","33°","24°","Soleado","15","39"
"24 Jul","33°","24°","Soleado","15","40"
"25 Jul","32°","25°","Soleado","17","43"
"26 Jul","33°","24°","Nubes y claros","17","43"
"27 Jul","33°","25°","Soleado","15","39"
"28 Jul","32°","25°","Nubes y claros","15","40"
"29 Jul","32°","25°","Lluvia débil","16","41"
"30 Jul","31°","25°","Nubes y claros","16","40"
"31 Jul","31°","25°","Nubes y claros","15","39"
"1 Ago","31°","26°","Nubes y claros","16","41"
"2 Ago","32°","25°","Nubes y claros","16","40"
"3 Ago","31°","23°","Nubes y claros","14","38"
"4 Ago","31°","23°","Nubes y claros","15","39"
"5 Ago","31°","24°","Nubes y claros","15","40"
"6 Ago","31°","24°","Nubes y claros","15","43"
"7 Ago","31°","22°","Soleado","15","43"
"8 Ago","31°","23°","Soleado","14","40"
"9 Ago","32°","22°","Soleado","14","39"
"10 Ago","31°","24°","Nubes y claros","15","35"
"11 Ago","31°","23°","Soleado","15","35"
"12 Ago","31°","23°","Nubes y claros","16","37"
"13 Ago","30°","23°","Nubes y claros","16","36"
